#W.L.[nm]	average(No.7-No.10)[%]
800	91.9434875
799	91.94629375
798	91.932375
797	91.9062
796	91.9264625
795	91.94034375
794	91.9594125
793	91.9742875
792	91.9728875
791	92.00276875
790	91.99848125
789	92.002675
788	92.01529375
787	92.0380375
786	92.04918125
785	92.04459375
784	92.03466875
783	92.05085
782	92.0641
781	92.07549375
780	92.0672375
779	92.061675
778	92.0608
777	92.0708875
776	92.0827875
775	92.0878875
774	92.0972375
773	92.0871375
772	92.09193125
771	92.1020625
770	92.11693125
769	92.11474375
768	92.09584375
767	92.08079375
766	92.081625
765	92.0909625
764	92.08525
763	92.09790625
762	92.0996625
761	92.08949375
760	92.06234375
759	92.0506375
758	92.0418875
757	92.0419875
756	92.0383375
755	92.040125
754	92.02685625
753	92.0243375
752	91.98581875
751	91.98186875
750	91.96770625
749	91.9530375
748	91.941325
747	91.9232125
746	91.89274375
745	91.88749375
744	91.8540125
743	91.84885625
742	91.82431875
741	91.80045
740	91.76739375
739	91.7515
738	91.745975
737	91.73313125
736	91.7174875
735	91.700475
734	91.689925
733	91.6888375
732	91.70020625
731	91.7129625
730	91.71738125
729	91.72725
728	91.738425
727	91.74010625
726	91.73580625
725	91.75004375
724	91.77936875
723	91.8101375
722	91.8376625
721	91.8620625
720	91.88978125
719	91.91768125
718	91.92721875
717	91.93814375
716	91.9483125
715	91.9545625
714	91.9746125
713	91.98861875
712	91.99723125
711	92.002375
710	92.00500625
709	92.0162375
708	92.0316625
707	92.0437375
706	92.04929375
705	92.0511125
704	92.05455625
703	92.0461125
702	92.04769375
701	92.0415
700	92.0409875
699	92.05151875
698	92.059925
697	92.06244375
696	92.06489375
695	92.0663375
694	92.06935625
693	92.07308125
692	92.075225
691	92.0736875
690	92.06375
689	92.0598
688	92.06468125
687	92.0710625
686	92.06854375
685	92.0742875
684	92.0766625
683	92.07938125
682	92.071075
681	92.08201875
680	92.08323125
679	92.09118125
678	92.08045625
677	92.08255
676	92.0771375
675	92.0763625
674	92.0796
673	92.07294375
672	92.079575
671	92.07039375
670	92.0695875
669	92.07048125
668	92.06808125
667	92.06436875
666	92.05974375
665	92.0611875
664	92.066125
663	92.07265
662	92.08271875
661	92.08021875
660	92.07726875
659	92.0744375
658	92.0739625
657	92.07260625
656	92.08331875
655	92.08230625
654	92.06953125
653	92.069425
652	92.06743125
651	92.074575
650	92.0727875
649	92.07045
648	92.0727625
647	92.0716125
646	92.07181875
645	92.073575
644	92.0732375
643	92.07176875
642	92.072425
641	92.0717
640	92.06589375
639	92.05985
638	92.047
637	92.04175625
636	92.0335125
635	92.0404125
634	92.04228125
633	92.04056875
632	92.0334875
631	92.0235125
630	92.02215
629	92.01860625
628	92.02558125
627	92.02010625
626	92.01645
625	92.01485625
624	92.0103
623	92.00980625
622	92.0043625
621	92.01295625
620	92.0151375
619	92.01438125
618	92.01325625
617	92.01000625
616	92.01161875
615	92.01188125
614	92.00271875
613	92.006025
612	92.01254375
611	92.02491875
610	92.0361375
609	92.0311
608	92.03544375
607	92.0268375
606	92.0205125
605	92.0142875
604	92.0166375
603	92.024725
602	92.01973125
601	92.0228875
600	92.0288375
599	92.022225
598	92.0231375
597	92.02323125
596	92.02160625
595	92.02679375
594	92.0281125
593	92.02133125
592	92.01755
591	92.0136375
590	92.02129375
589	92.01578125
588	92.0117625
587	92.0107125
586	92.0139
585	92.0189125
584	92.01344375
583	92.009425
582	92.0063
581	92.00730625
580	92.00390625
579	92.001025
578	92.0009125
577	92.000925
576	91.9926625
575	91.99363125
574	92.000475
573	92.00871875
572	92.00093125
571	91.9912875
570	91.98873125
569	91.9916
568	91.992425
567	91.98548125
566	91.98294375
565	91.99123125
564	91.99485625
563	91.9957875
562	91.98761875
561	91.983575
560	91.9782625
559	91.97579375
558	91.97823125
557	91.97824375
556	91.9760875
555	91.9711625
554	91.97046875
553	91.96426875
552	91.96155625
551	91.95769375
550	91.95930625
549	91.95743125
548	91.95764375
547	91.9582
546	91.95115625
545	91.9535625
544	91.95251875
543	91.9534
542	91.94979375
541	91.94948125
540	91.94828125
539	91.9474875
538	91.9485375
537	91.95524375
536	91.9523375
535	91.9514125
534	91.94176875
533	91.9457875
532	91.94680625
531	91.9425125
530	91.9308625
529	91.92714375
528	91.927725
527	91.92884375
526	91.9236375
525	91.91926875
524	91.9206625
523	91.9222625
522	91.91535
521	91.92011875
520	91.9167
519	91.91895
518	91.92196875
517	91.9154625
516	91.91246875
515	91.9032375
514	91.90941875
513	91.9099625
512	91.90999375
511	91.90904375
510	91.90811875
509	91.90165
508	91.90225625
507	91.8954125
506	91.89338125
505	91.88501875
504	91.87949375
503	91.8863375
502	91.887775
501	91.890125
500	91.88263125
499	91.8730875
498	91.86999375
497	91.86058125
496	91.8657125
495	91.86465625
494	91.86455625
493	91.86063125
492	91.86265
491	91.8563125
490	91.85655
489	91.84830625
488	91.851275
487	91.847725
486	91.8563625
485	91.848275
484	91.84669375
483	91.8391125
482	91.83250625
481	91.82761875
480	91.8267875
479	91.826625
478	91.81830625
477	91.817475
476	91.817475
475	91.8159
474	91.81454375
473	91.81414375
472	91.8046125
471	91.79876875
470	91.7855625
469	91.78948125
468	91.7853875
467	91.788875
466	91.78473125
465	91.78235625
464	91.7804625
463	91.77895
462	91.77543125
461	91.76923125
460	91.75980625
459	91.7559875
458	91.745925
457	91.744625
456	91.7413625
455	91.7387
454	91.7330875
453	91.72015625
452	91.70545
451	91.70378125
450	91.70158125
449	91.70460625
448	91.70733125
447	91.69866875
446	91.69365625
445	91.68585625
444	91.67364375
443	91.6678375
442	91.6587625
441	91.65196875
440	91.64873125
439	91.64344375
438	91.63696875
437	91.6263375
436	91.6148625
435	91.612875
434	91.6093875
433	91.60910625
432	91.5986375
431	91.588175
430	91.58329375
429	91.58099375
428	91.5778625
427	91.56916875
426	91.567475
425	91.55583125
424	91.545275
423	91.538225
422	91.5220625
421	91.52545
420	91.49759375
419	91.50221875
418	91.48985625
417	91.4897875
416	91.4790125
415	91.4642875
414	91.4578
413	91.44773125
412	91.442675
411	91.43923125
410	91.43929375
409	91.4159
408	91.407275
407	91.4283125
406	91.47940625
405	91.48585625
404	91.45376875
403	91.38120625
402	91.340475
401	91.3154375
400	91.29645625
399	91.2869625
398	91.272025
397	91.25278125
396	91.23414375
395	91.2232875
394	91.192775
393	91.1810875
392	91.15330625
391	91.13985625
390	91.1123125
389	91.1001
388	91.06800625
387	91.04601875
386	91.0143875
385	90.98344375
384	90.95605625
383	90.922925
382	90.88845625
381	90.84755625
380	90.81175625
379	90.782125
378	90.7524375
377	90.70536875
376	90.6652
375	90.6128375
374	90.5594
373	90.52235
372	90.4774875
371	90.42985625
370	90.389325
369	90.32070625
368	90.2700875
367	90.2147125
366	90.14434375
365	90.08899375
364	90.01229375
363	89.943075
362	89.86796875
361	89.80186875
360	89.73151875
359	89.64990625
358	89.575475
357	89.50041875
356	89.43661875
355	89.34795
354	89.2608625
353	89.1582375
352	89.06554375
351	88.9625125
350	88.873925
349	88.778325
348	88.64996875
347	88.51901875
346	88.37015
345	88.2662
344	88.1465875
343	88.03728125
342	87.8989
341	87.7347
340	87.6012375
339	87.4567875
338	87.287175
337	87.13114375
336	86.95613125
335	86.8011375
334	86.6214
333	86.42505
332	86.22670625
331	86.0462
330	85.86505
329	85.70533125
328	85.52124375
327	85.32066875
326	85.107675
325	84.8930375
324	84.69038125
323	84.4602375
322	84.2303
321	83.97919375
320	83.73799375
319	83.475925
318	83.195825
317	82.894875
316	82.56406875
315	82.21828125
314	81.84199375
313	81.43893125
312	81.00285
311	80.52593125
310	80.0092125
309	79.4473625
308	78.8348125
307	78.152525
306	77.4021375
305	76.59105625
304	75.70216875
303	74.73509375
302	73.68505625
301	72.5616375
300	71.35406875
299	70.026775
298	68.5599
297	66.883225
296	64.9336875
295	62.59264375
294	59.7642
293	56.3048625
292	52.11963125
291	47.21784375
290	41.79753125
289	36.19720625
288	30.87103125
287	26.1951375
286	22.39100625
285	19.43490625
284	17.10379375
283	15.114025
282	13.24934375
281	11.42642438
280	9.6529975
279	7.971894375
278	6.43034375
277	5.065425625
276	3.901083125
275	2.940634375
274	2.168875625
273	1.560701875
272	1.090820813
271	0.736117
270	0.478269
269	0.298100438
268	0.177939769
267	0.101560238
266	0.054691375
265	0.027558625
264	0.012617982
263	0.0051445
262	0.001519996
261	7.81805E-05
260	0
259	0
