#### FADC pulse shape for a 0.25 GHz system:
####
#
# T=0.5  !Time step is 0.5 nanoseconds
#
0.0      0.030593  
0.5      0.048134  
1.0      0.073230  
1.5      0.107764  
2.0      0.153454  
2.5      0.211534  
3.0      0.282415  
3.5      0.365365  
4.0      0.458303  
4.5      0.557758  
5.0      0.659047  
5.5      0.756669  
6.0      0.844868  
6.5      0.918270  
7.0      0.972496  
7.5      1.004633  
8.0      1.013491  
8.5      0.999619  
9.0      0.965097  
9.5      0.913169  
10.0     0.847789  
10.5     0.773165  
11.0     0.693370  
11.5     0.612049  
12.0     0.532243  
12.5     0.456305  
13.0     0.385914  
13.5     0.322132  
14.0     0.265494  
14.5     0.216113  
15.0     0.173784  
15.5     0.138072  
16.0     0.108397  
16.5     0.084097  
17.0     0.064477  
17.5     0.048855  
18.0     0.036585  
18.5     0.027077  
19.0     0.019805  
19.5     0.014317  
20.0     0.010229  
20.5     0.007223  
21.0     0.005041  
21.5     0.003477  
22.0     0.002370  
22.5     0.001597  
23.0     0.001063  
23.5     0.000700  
24.0     0.000455  
24.5     0.000292  
25.0     0.000186  
