# LST mirror reflectivity curve, from Koji Noda, 2018-03-15.
# Sorted in ascending order (KB), scaled from percentage to absolute numbers.
# wavelength[nm]	reflectivity[%]	1sigma[%]	
200	  0.23473 3.71321
200.5	 0.242866 3.65057
201	 0.251565 3.61783
201.5	 0.260539 3.59697
202	 0.269669 3.59855
202.5	 0.278952 3.60944
203	 0.288635 3.65137
203.5	 0.298729 3.71667
204	 0.309073 3.78579
204.5	 0.319829 3.88005
205	 0.330646 3.98012
205.5	 0.341635 4.09066
206	 0.352762 4.20699
206.5	 0.363951 4.32061
207	 0.375092 4.43476
207.5	 0.386359 4.54052
208	 0.397258 4.63931
208.5	 0.408503 4.72783
209	 0.419757 4.816
209.5	  0.43048 4.88443
210	 0.441564 4.93883
210.5	 0.452576 4.99725
211	 0.463378 5.04828
211.5	 0.473663 5.08439
212	 0.484047 5.11468
212.5	 0.494215 5.12965
213	 0.504304 5.14148
213.5	 0.514188 5.15489
214	 0.524046 5.15174
214.5	 0.533596 5.14662
215	 0.543138 5.1361
215.5	 0.552286 5.12319
216	 0.561028 5.10628
216.5	  0.56979 5.08399
217	 0.577791 5.05205
217.5	 0.585324 5.01719
218	 0.592893 4.98504
218.5	 0.599763 4.9495
219	 0.606514 4.9071
219.5	 0.613008 4.86559
220	 0.619776 4.83628
220.5	 0.625627 4.79672
221	  0.63165 4.75925
221.5	 0.637463 4.72619
222	 0.642943 4.69862
222.5	 0.648091 4.66905
223	 0.652813 4.6317
223.5	 0.657688 4.60113
224	 0.662569 4.57128
224.5	 0.667005 4.5433
225	 0.670955 4.51097
225.5	 0.675185 4.49252
226	 0.679232 4.47263
226.5	  0.68255 4.45404
227	 0.685555 4.43608
227.5	  0.68852 4.42058
228	 0.691745 4.41022
228.5	  0.69443 4.39476
229	  0.69711 4.37643
229.5	 0.699443 4.36097
230	  0.70196 4.34941
230.5	 0.704115 4.34091
231	 0.706287 4.33632
231.5	 0.708274 4.32294
232	  0.71011 4.31703
232.5	 0.712563 4.32061
233	   0.7146 4.32187
233.5	 0.716443 4.32135
234	 0.718037 4.32233
234.5	 0.719624 4.3258
235	 0.721197 4.3307
235.5	 0.722411 4.3357
236	 0.723561 4.33852
236.5	 0.724627 4.34262
237	 0.725988 4.34463
237.5	 0.727073 4.35115
238	 0.728093 4.35467
238.5	 0.729187 4.35701
239	 0.730141 4.36555
239.5	 0.731248 4.37553
240	 0.732138 4.38799
240.5	 0.732769 4.3999
241	 0.733543 4.40769
241.5	 0.734258 4.41642
242	  0.73485 4.42521
242.5	 0.735443 4.4331
243	 0.736364 4.44169
243.5	 0.737171 4.44867
244	 0.738127 4.46081
244.5	 0.738777 4.47328
245	 0.739803 4.49113
245.5	  0.74053 4.50671
246	 0.741067 4.51844
246.5	 0.741917 4.52986
247	 0.742483 4.54026
247.5	 0.743238 4.55062
248	 0.743717 4.55701
248.5	 0.744092 4.5636
249	 0.744881 4.57142
249.5	 0.745505 4.57997
250	 0.745984 4.58913
250.5	  0.74642 4.59198
251	 0.747094 4.59829
251.5	 0.747929 4.60351
252	 0.748681 4.60928
252.5	 0.749408 4.61406
253	 0.750201 4.61491
253.5	 0.751207 4.61937
254	 0.752207 4.62392
254.5	 0.752919 4.62549
255	 0.753667 4.6235
255.5	 0.754216 4.6207
256	 0.754904 4.62269
256.5	 0.755616 4.61812
257	 0.756425 4.61617
257.5	 0.757427 4.61519
258	 0.758532 4.6099
258.5	 0.759643 4.60931
259	 0.760812 4.59967
259.5	 0.761899 4.5928
260	  0.76298 4.5809
260.5	 0.763898 4.5659
261	 0.764696 4.55576
261.5	 0.765532 4.53747
262	 0.766663 4.52517
262.5	 0.767846 4.50994
263	 0.769011 4.49281
263.5	 0.770291 4.47541
264	 0.771522 4.45747
264.5	 0.773163 4.43919
265	 0.774623 4.41815
265.5	 0.776142 4.39419
266	 0.777295 4.37051
266.5	 0.778678 4.35025
267	  0.78026 4.32771
267.5	 0.781569 4.29853
268	  0.78289 4.26947
268.5	 0.784408 4.24276
269	 0.785735 4.2089
269.5	  0.78711 4.17613
270	 0.788626 4.14302
270.5	 0.790178 4.10788
271	 0.791704 4.0784
271.5	 0.793406 4.03985
272	 0.795134 4.00888
272.5	  0.79679 3.97406
273	 0.798599 3.94109
273.5	 0.800105 3.90656
274	 0.801658 3.86731
274.5	  0.80353 3.83203
275	 0.805131 3.79744
275.5	 0.806816 3.75691
276	  0.80842 3.71756
276.5	 0.810214 3.67629
277	 0.811908 3.63575
277.5	 0.813644 3.59299
278	 0.815274 3.55144
278.5	  0.81691 3.50816
279	 0.818436 3.46532
279.5	 0.820147 3.42494
280	 0.821765 3.38488
280.5	 0.823621 3.34332
281	 0.825108 3.30146
281.5	 0.827005 3.26193
282	 0.828784 3.2201
282.5	 0.830654 3.17557
283	 0.832229 3.13116
283.5	 0.833719 3.08843
284	 0.835316 3.04596
284.5	 0.836869 3.00407
285	 0.838576 2.9633
285.5	 0.840152 2.92774
286	 0.841824 2.89172
286.5	 0.843492 2.85572
287	 0.845234 2.81674
287.5	 0.846676 2.77625
288	 0.848151 2.73061
288.5	 0.849551 2.69178
289	 0.851243 2.65329
289.5	 0.852834 2.60959
290	 0.854406 2.56781
290.5	 0.856015 2.52313
291	 0.857397 2.49136
291.5	 0.859031 2.45251
292	 0.860552 2.41574
292.5	 0.861978 2.37905
293	 0.863511 2.34385
293.5	 0.865048 2.31719
294	 0.866579 2.27705
294.5	 0.868079 2.24098
295	 0.869386 2.21028
295.5	 0.870625 2.18106
296	 0.872148 2.15482
