#@RPOL@[ANGLE=] 2
# Note: first line starting with "#@RPOL@" is required for automatic 
# 1-D/2-D interpolation and table format switching (default is 1-D).
# The string in brackets identifies how the row with angle values, y,
# (in degrees) has to start, wavelengths being the leading x column.
#
# Angle-dependent reflectivity for ASTRI mirrors.
# Contributed by Giorgia Sironi, 2018-01-17.
#
# Wavelenght[]  0deg    10deg   20deg   30deg   40deg   50deg   60deg   70deg   80deg
#
ANGLE=     0              10              20              30              40              50              60              70              80
#
# x[i]  z[0][i]         z[1][i]         .... 
#
200     0.9353535       0.9349322       0.9332631       0.9291132       0.9202979       0.9033269       0.8731575       0.826811        0.797666
201     0.9348222       0.9343122       0.9323665       0.9277089       0.9180504       0.8997096       0.8674947       0.819169        0.790768
202     0.9342081       0.9336075       0.9313771       0.9261926       0.9156502       0.8958646       0.8614863       0.8107726       0.7786305
203     0.9335186       0.932825        0.9303013       0.9245693       0.9131002       0.8917916       0.8551205       0.8014631       0.759709
204     0.9327374       0.9319478       0.9291205       0.9228166       0.9103714       0.8874512       0.8483336       0.7910298       0.7327166
205     0.9318593       0.9309707       0.9278279       0.9209256       0.9074508       0.8828236       0.8410882       0.7793569       0.6982422
206     0.9309462       0.9299557       0.9264872       0.9189633       0.9044127       0.8779982       0.8334952       0.7666655       0.6619283
207     0.9299505       0.9288544       0.9250473       0.9168727       0.9011894       0.8728899       0.8254442       0.7531255       0.6362923
208     0.928892        0.9276866       0.9235278       0.9146734       0.8978018       0.8675244       0.8169865       0.7394997       0.6361512
209     0.927655        0.9263343       0.9218027       0.9122234       0.8940782       0.8616838       0.8078726       0.726619        0.6643814
210     0.9262572       0.924815        0.919889        0.9095384       0.8900346       0.8553913       0.7982146       0.7162241       0.7091346
211     0.9244882       0.9229009       0.9175021       0.9062197       0.8850641       0.8476894       0.7866801       0.7099175       0.7632392
212     0.9225369       0.9207955       0.9148926       0.9026132       0.8796913       0.8394416       0.7750212       0.7117384       0.80822
213     0.9203376       0.9184312       0.9119873       0.898635        0.8738177       0.8305586       0.7636106       0.7216153       0.8421518
214     0.9179389       0.9158569       0.9088359       0.8943382       0.8675095       0.8211836       0.7532864       0.737884        0.8672914
215     0.9153127       0.9130442       0.9054094       0.8896934       0.8607446       0.8113717       0.7447638       0.7573465       0.885818
216     0.9125115       0.9100461       0.9017635       0.8847645       0.8536164       0.8013757       0.7389834       0.7775635       0.8997985
217     0.9095045       0.9068292       0.897856        0.8794946       0.8460603       0.7912642       0.7364965       0.7971088       0.9107556
218     0.9063387       0.9034401       0.893733        0.873934        0.8381638       0.7813976       0.7379331       0.8154035       0.9196872
219     0.9030073       0.8998717       0.8893867       0.8680797       0.8299711       0.7721414       0.7432996       0.8320061       0.9271126
220     0.8993902       0.8960013       0.8846882       0.8617973       0.8213796       0.7636624       0.7516105       0.846391        0.9332024
221     0.8955094       0.8918533       0.8796705       0.8551462       0.8125476       0.7564414       0.7619216       0.8586382       0.9382174
222     0.8912369       0.8872957       0.8741904       0.8479714       0.8033575       0.7505276       0.773043        0.868895        0.9423233
223     0.8865854       0.8823415       0.868264        0.8403103       0.7939642       0.7462817       0.7844139       0.8775897       0.9457552
224     0.8815673       0.8770035       0.8619088       0.8322106       0.7845678       0.7440309       0.795721        0.8851124       0.9487016
225     0.8761759       0.8712762       0.8551271       0.8237138       0.7753773       0.7438863       0.8066249       0.8916676       0.9512568
226     0.8704143       0.8651653       0.8479388       0.814898        0.7666674       0.7458363       0.8169335       0.8974278       0.9534966
227     0.8642423       0.8586314       0.8403136       0.8057881       0.758654        0.7497142       0.8266141       0.9025602       0.955488
228     0.8576965       0.8517171       0.8323209       0.7965418       0.7516722       0.7552464       0.8356099       0.907154        0.9572669
229     0.8507725       0.8444233       0.8239883       0.7872796       0.7459775       0.7620763       0.8439267       0.9112885       0.9588637
230     0.8435597       0.8368502       0.8154591       0.7782621       0.7418939       0.7699037       0.8516359       0.9150531       0.960316
231     0.8361986       0.8291526       0.8069421       0.7698109       0.7396384       0.7783263       0.8587291       0.9184782       0.961637
232     0.8284743       0.8211161       0.7982375       0.7617944       0.7389924       0.7869691       0.8652305       0.9215805       0.9628255
233     0.8203737       0.8127387       0.7893899       0.7543504       0.739884        0.7955719       0.8711631       0.9243791       0.9638866
234     0.8119681       0.8041082       0.7805489       0.7477238       0.7422927       0.8040451       0.8766221       0.926931        0.9648446
235     0.8030087       0.7949815       0.7714995       0.7417123       0.7456733       0.8119682       0.8814504       0.9291394       0.9656487
236     0.7939355       0.7858307       0.762808        0.7369261       0.7502401       0.8195731       0.88589         0.9311523       0.9663709
237     0.7847192       0.7766419       0.754509        0.7333785       0.7557353       0.8268245       0.8899786       0.9329843       0.9670141
238     0.7755155       0.7675935       0.7468358       0.7312344       0.7620312       0.8337645       0.8937878       0.9346756       0.9675963
